company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type,next_due
KHAN MEDICO LONDON LIMITED,09961365,active,2016-01-20,E12 6UB,86210,ltd,2019-10-31
STICKY FILM LIMITED,09963237,active,2016-01-21,SE18 6FU,59120,ltd,2020-04-30
173 HIGH STREET RICKMANSWORTH (FREEHOLD) LIMITED,09976003,active,2016-01-28,N2 8EY,64209,ltd,2023-01-31
PACIFIC AVIATION CONSULTING LIMITED,10485298,active,2016-11-17,E16 2RD,46140,ltd,2018-08-17
GUEVARA  PETS LTD,10279570,active,2016-07-14,E11 2RJ,75000,ltd,2023-04-30
TRUSTIN CONSTRUCTION SERVICES LTD,10733325,active,2017-04-21,E15 2RS,"43999, 70229",ltd,2025-01-31
FORTEN LIMITED,12779180,active,2020-07-29,W1U 7GB,64191,ltd,2022-04-29
JC FLOORING SOLUTIONS LIMITED,12465656,active,2020-02-15,E4 9EP,47530,ltd,2021-11-15
TRIUMVIRATE HOSPITALITY LIMITED,11425708,active,2018-06-21,W1F 0UF,56101,ltd,2020-03-21
SPIRIT ARTS YOUTH PLACE OF HOPE LTD,11655543,active,2018-11-01,SE6 1LA,"55900, 85600, 90030",private-limited-guarant-nsc,2024-08-31
CHISWICK HRA LTD,10068818,active,2016-03-17,W4 1TE,47791,ltd,2017-12-17
LEGACY SPORTS INTERNATIONAL LTD,11323395,active,2018-04-23,RM3 0NQ,79909,ltd,2024-01-31
GROSVENOR INVESTIGATIONS LIMITED,11306923,active,2018-04-12,RM1 4BH,80300,ltd,2022-01-31
JUMEIRAH PALM LOUNGE LIMITED,11863400,active,2019-03-06,RM1 2JH,56102,ltd,2021-12-31
VICTORIA DECORATION LTD,11949669,active,2019-04-16,RM3 9RJ,43999,ltd,2024-01-31
E-GUARANTEED LIMITED,11940653,active,2019-04-11,E12 5AD,46520,ltd,2024-01-31
JBA PROPERTY LLP,OC412101,active,2016-06-02,RM2 6PS,N/A,llp,2022-12-31
GREENCARE GARDEN SERVICES LTD,06560669,active,2008-04-09,RM4 1JU,41201,ltd,2025-01-31
K T WINDOW SOLUTIONS LIMITED,12345170,active,2019-12-03,RM4 1PB,43342,ltd,2022-09-30
WD FIRE SERVICES LTD,12258502,active,2019-10-12,RM4 1EX,33140,ltd,2021-07-12
EASTEND COLLEGE LONDON LTD,12241101,active,2019-10-03,E7 9HZ,"85320, 85421, 85422, 85600",ltd,2024-07-31
KHAS DESIGNS LIMITED,12438046,active,2020-02-03,RM6 4AS,47910,ltd,2023-11-30
LEONAS LIMITED,12432831,active,2020-01-30,RM6 6DT,74902,ltd,2023-01-31
NCE CORPORATION LTD,12441257,active,2020-02-04,E7 9HZ,"68209, 68310, 98000",ltd,2021-11-04
RICHERCHOICE LIMITED,12332701,active,2019-11-25,RM1 2BX,"47220, 47240, 47750, 47910",ltd,2023-08-31
R & P RESTAURRANTS LTD,12319661,active,2019-11-18,E15 4BZ,56101,ltd,2022-08-31
BILLETS SOLUTIONS LIMITED,12374227,active,2019-12-20,RM5 3BZ,64205,ltd,2021-09-20
CUBEDEVELOP LTD,12364228,active,2019-12-16,RM3 9FA,43290,ltd,2023-09-30
TRIPLE BB LIMITED,12268243,active,2019-10-17,RM1 3JT,43210,ltd,2022-07-31
CALIN TRANSPORT LTD,11990472,active,2019-05-10,RM6 6HH,49410,ltd,2021-05-10
DEN OF TECH LIMITED,12002091,active,2019-05-17,RM6 4UT,"47410, 47421, 47429, 47540",ltd,2022-05-31
CHADVILLE SAFETY CONSULTANCY LIMITED,11962226,active,2019-04-25,RM6 5UA,71129,ltd,2023-01-31
KGN FAST FOOD LTD,12148919,active,2019-08-09,RM6 6LS,56103,ltd,2023-04-30
SUNN CARE LIMITED,12196115,active,2019-09-09,RM6 4ED,87200,ltd,2021-06-09
E&G BUSINESS SERVICES LTD,12199561,active,2019-09-10,RM6 6BU,"41100, 43210, 43220, 43320",ltd,2021-06-10
DIVIDED NATIONS LTD,12030537,active,2019-06-03,RM6 5ER,49410,ltd,2022-03-31
JUNIORMAX LTD,12028613,active,2019-06-03,RM1 2NQ,42120,ltd,2021-06-03
AUTOBAHN PERFORMANCE (UK) LIMITED,12108826,active,2019-07-17,E7 9HZ,"73120, 74202",ltd,2022-04-30
PAKISTAN TRADING LIMITED,12126224,active,2019-07-29,RM3 7HB,47620,ltd,2021-04-29
GOLD SCORPIO LTD,12121335,active,2019-07-24,RM1 2EH,49410,ltd,2024-04-30
VANS & HANS LTD,12114808,active,2019-07-22,RM5 3BX,"49410, 56210, 73110",ltd,2022-04-30
GOLDPEPPER LIMITED,12073926,active,2019-06-27,RM6 5SL,56102,ltd,2021-06-27
D&A DELIVERY SERVICES LTD,12082161,active,2019-07-03,RM1 1DL,53202,ltd,2022-04-30
BAGEL CRAFT LTD,12026955,active,2019-05-31,RM5 3ND,"56101, 56103, 56210, 56290",ltd,2021-05-31
CMB SECURITY LTD,12043281,active,2019-06-11,RM1 3QA,80100,private-limited-guarant-nsc,2021-06-11
CAPRANI HOLDINGS LIMITED,09733794,active,2015-08-14,RM2 5UG,47910,ltd,2022-05-31
J & N CAR HIRE SERVICES LIMITED,09560058,active,2015-04-24,RM6 6DS,77110,ltd,2024-01-31
BS FACTORY LIMITED,11405317,active,2018-06-08,E7 9HZ,"43999, 81210, 82990, 85600",ltd,2025-03-31
ATOM JOINERY LTD,09552459,active,2015-04-21,RM1 1DL,"41202, 43320",ltd,2025-01-31
GM FURUK TRUST LTD,10472187,active,2016-11-10,RM9 5RX,88990,private-limited-guarant-nsc,2024-08-31
PLATINUM CAR CLUB LTD,12444842,active,2020-02-05,RM8 1LR,77110,ltd,2024-11-27
DAVID & JUWON LTD,12564749,active,2020-04-20,RM10 8SE,99999,ltd,2025-01-31
RCONSTRUCTION4UK LTD,12479319,active,2020-02-24,RM9 5JT,41202,ltd,2021-11-24
ACMG CLEANING LTD,12485675,active,2020-02-26,RM8 2AJ,81210,ltd,2022-11-30
GOLD BEAR CONSTRUCTION LTD,09551247,active,2015-04-20,RM10 8NH,41100,ltd,2024-01-31
EAT THE BEST LTD,12336738,active,2019-11-27,RM8 3XU,56102,ltd,2023-08-31
D&I CLEAN LIMITED,12358538,active,2019-12-11,RM8 2RE,81222,ltd,2022-09-30
KAIM KHANI BROTHERS LTD,12339890,active,2019-11-29,RM9 5SL,56103,ltd,2023-08-31
TRANS ALPINE LOGISTICS LTD,12406061,active,2020-01-15,RM8 1AR,96090,ltd,2022-09-30
TRAINING SPOT LTD,12449668,active,2020-02-07,RM9 4ND,85590,ltd,2021-11-07
MRB PROPERTY DEVELOPMENTS LTD,12326203,active,2019-11-21,RM8 1TU,68310,ltd,2022-08-31
OLIVERS DRYWALL FINISHING LTD,12290790,active,2019-10-30,RM8 2DP,"41201, 43310, 43341",ltd,2021-07-30
BUKEN LIMITED,12381688,active,2019-12-31,RM6 4BE,56102,ltd,2023-09-30
DEIZY LTD,12273588,active,2019-10-21,RM9 5HU,53202,ltd,2022-07-31
247 LOCAL PLUMBERS LTD,12224688,active,2019-09-24,RM9 5QB,43220,ltd,2021-06-24
TODTIA LIMITED,12150775,active,2019-08-12,RM9 5EH,"86900, 96020",ltd,2024-05-31
SMART FIX CENTER LTD,12033665,active,2019-06-05,RM8 1SL,96090,ltd,2023-03-31
PM PROPERTY TRADING LTD,12134601,active,2019-08-01,RM9 4RX,68100,ltd,2023-05-31
DARODA LTD,12071691,active,2019-06-26,RM10 8AE,52290,ltd,2022-03-31
CIPRIAN TRANS LTD,12055376,active,2019-06-17,RM8 2SP,49410,ltd,2023-03-31
TECHZAY APP LTD,12018214,active,2019-05-25,RM8 1TX,"62012, 62020, 62090",ltd,2023-01-31
DIAMONDCREST LTD,09466034,active,2015-03-02,RM9 6BX,86900,ltd,2025-03-31
TOMA UNIC GROUP LTD,15238965,active,2023-10-26,RM8 2UB,"41202, 49410",ltd,2025-07-26
RITEWAY INVESTMENTS LIMITED,08588992,active,2013-06-28,RM10 8PU,"41201, 42120, 42990, 78200",ltd,2024-03-31
S.E.L.G BUILDING LTD,09269369,active,2014-10-17,RM9 6UR,43999,ltd,2024-03-31
ZIVA LTD,10134213,active,2016-04-19,RM9 4RA,69201,ltd,2021-04-30
SULTAN HAULAGE LTD,11446171,active,2018-07-03,RM8 2HT,"49410, 52290",ltd,2025-04-30
G & AM CONSTRUCTION SERVICES LTD,10107242,active,2016-04-06,RM10 8TT,41202,ltd,2023-01-31
BOMYCAS FILM SERVICES LIMITED,11889971,active,2019-03-19,RM9 5YD,59111,ltd,2022-12-31
REALGADGETS LIMITED,12504879,active,2020-03-09,RM8 1AJ,47410,ltd,2022-12-31
ESSEX ADVERTISING SERVICES LTD,11826595,active,2019-02-14,RM12 6LL,73110,ltd,2021-11-30
GREEN MAYA UK LTD,11741091,active,2018-12-24,RM11 1XP,"10832, 46370, 47250, 56102",ltd,2024-09-30
WRIGHT WILLS ESTATE PLANNING LIMITED,11279833,active,2018-03-28,RM12 4TN,69109,ltd,2023-12-31
JBM PRODUCTS LIMITED,12386140,active,2020-01-06,RM11 1EQ,43999,ltd,2021-10-06
TWITCH MARKETING LIMITED,12186115,active,2019-09-03,RM12 5AS,73200,ltd,2021-06-03
AGAP HEALTHCARE LTD,12234796,active,2019-09-30,RM12 5DF,84120,ltd,2022-06-30
CATALINA SPECIAL SERVICE LTD,12063283,active,2019-06-21,RM12 6NB,81210,ltd,2021-06-21
H R M PLUMBING & HEATING SERVICES LTD,10139634,active,2016-04-21,RM12 6NJ,43220,ltd,2023-12-31
CONCEPT SUPPLIES LIMITED,09560467,active,2015-04-24,RM11 3XT,43390,ltd,2021-04-30
LONDON FOOD DELIVERY LTD,12707869,active,2020-06-30,RM11 2EA,"46170, 46190, 46390, 56290",ltd,2024-03-31
BROWNLEAF SERVICES LIMITED,08625643,active,2013-07-26,RM12 5DG,81300,ltd,2025-07-31
EMELISSE CONSULTANCY LIMITED,08232199,active,2012-09-27,RM12 6LL,78109,ltd,2020-09-30
CANTUA CONTRACTING LIMITED,11553520,active,2018-09-05,RM12 6NJ,99999,ltd,2025-06-30
PLUSPOINT RECRUITMENT LIMITED,10129887,active,2016-04-18,RM12 6RJ,96090,ltd,2025-01-31
THEOBALD CONSTRUCTION LTD,11102855,active,2017-12-08,RM12 6LL,"41201, 41202",ltd,2022-12-31
R.G.S INTERIOR SPECIALISTS LTD,12481517,active,2020-02-25,RM12 6LL,43390,ltd,2023-02-28
TEACH RECRUITMENT LIMITED,12228803,active,2019-09-26,RM11 2NE,78200,ltd,2022-09-30
SGOTT LTD,11618997,active,2018-10-12,RM11 1GN,43290,ltd,2023-10-31
EDMUND SERVICES LIMITED,01854921,active,1984-10-12,RM14 3PJ,96090,ltd,2025-07-31
MJL ENTERPRISE CONSULTING LIMITED,10729044,active,2017-04-19,RM14 2DT,70229,ltd,2022-04-30
STEO PRO LIMITED,12396138,active,2020-01-10,RM13 9YS,96090,ltd,2021-10-10
FIBRE GLASS CREATION AND DESIGNS LTD,11722603,active,2018-12-11,RM14 3TS,23140,ltd,2022-12-31
SYNERTRADE LIMITED,06666093,active,2008-08-06,RM14 2SJ,46360,ltd,2022-08-31
PLEEF LLP,OC416984,active,2017-04-20,RM14 2AP,N/A,llp,2024-06-30
VATA LIMITED,11569714,active,2018-09-14,RM14 2SJ,56101,ltd,2024-06-29
ADVANCED INDUSTRIAL CLEANING LIMITED,04840958,active,2003-07-22,RM14 3LU,81299,ltd,2025-07-31
TUNE-UP SEAFOODS LTD,07689355,active,2011-07-01,RM14 2SJ,47230,ltd,2025-07-31
MI PARCEL UK LTD,12423143,active,2020-01-24,RM15 6AH,52290,ltd,2022-10-31
BLUE ROSE XIV LIMITED,12678792,active,2020-06-18,RM15 5PX,70229,ltd,2024-03-31
MD STAR BUILDERS LTD,15238686,active,2023-10-26,RM15 5AT,41202,ltd,2025-07-26
BRICKKILN DESIGN LTD,14053583,active,2022-04-19,RM15 5HP,14120,ltd,2025-01-31
STARBROOKE CARE LTD.,09031003,active,2014-05-08,RM15 5AT,99999,ltd,2025-02-28
EMPIRE FIRE & CONSTRUCTION MATERIALS LIMITED,14797318,active,2023-04-12,RM15 5HP,46130,ltd,2025-01-12
WD BUILDING & MAINTENANCE SERVICES LTD,10340027,active,2016-08-22,RM15 5HF,43999,ltd,2025-05-31
PIRTRANS LTD,11137920,active,2018-01-08,RM15 5LZ,49410,ltd,2022-10-31
LUXE EVENT HIRE LTD,10552744,active,2017-01-09,RM15 5GP,56210,ltd,2024-10-31
IN DOORS LIMITED,05031014,active,2004-01-30,RM15 5SX,16230,ltd,2023-10-31
MARYTRANS LTD,09748811,active,2015-08-25,RM15 5BP,49410,ltd,2020-05-31
GEORDEN LTD,09738630,active,2015-08-18,RM15 4SJ,41201,ltd,2021-05-31
JA AKINBODE & SONS LIMITED,08253812,active,2012-10-15,RM15 6BB,49410,ltd,2024-07-30
UKT CONSTRUCTION LIMITED,09588485,active,2015-05-13,RM15 5GP,43390,ltd,2025-05-31
RKJD BUILDING & MAINTENANCE SERVICES LTD,14391715,active,2022-10-02,RM15 5ND,43390,ltd,2025-07-31
PROEDYL LTD,11324972,active,2018-04-24,RM17 6RE,43390,ltd,2024-01-31
IVANOV & SONS LOGISTICS LTD,11948590,active,2019-04-16,RM17 5LJ,49410,ltd,2024-01-31
SLYWARK IT SERVICES LIMITED,09605625,active,2015-05-22,RM17 6LU,62020,ltd,2024-02-29
MESTRE DELIVERY COMPANY LIMITED,09660450,active,2015-06-29,RM16 4TD,49410,ltd,2024-06-30
ESSEX ANGLING LTD,07363429,active,2010-09-02,RM17 5DF,61900,ltd,2024-08-31
DOREK LTD,12312396,active,2019-11-13,RM17 6DG,"86900, 96020",ltd,2022-08-31
LKR LOGISTICS LTD,12323131,active,2019-11-19,RM17 6RJ,"49410, 52290",ltd,2022-08-31
CENTREWALL LTD,12034995,active,2019-06-05,RM16 6ED,"47910, 47990, 70229",ltd,2022-03-31
HIREBRID PCO LTD,12086130,active,2019-07-04,RM17 6ST,49320,ltd,2021-07-04
IRMAK FAST FOOD LTD,12057263,active,2019-06-18,RM17 5RZ,56102,ltd,2022-03-31
VE CONNECT LTD,12046382,active,2019-06-12,RM17 6NQ,96020,ltd,2021-06-12
JHONY78 LTD,12042816,active,2019-06-11,RM17 6DE,49410,ltd,2024-03-31
SWIFT AND BOLD DRIVER SUPPORT LIMITED,11327927,active,2018-04-25,RM17 5XR,"78200, 85590",ltd,2023-01-31
IVORYROSE COMPANY LIMITED,11327456,active,2018-04-25,RM20 4BE,"68209, 68320",ltd,2023-01-31
SBS SUN LTD,10645113,active,2017-03-01,RM17 5DF,49410,ltd,2024-03-31
JOACHIM TRANS LTD,11655724,active,2018-11-02,RM16 6YD,49410,ltd,2022-08-31
JODAS HEALTHCARE LIMITED,11853676,active,2019-02-28,RM16 2TJ,"86101, 86102, 86230",ltd,2024-11-30
CYTRO LTD,11316187,active,2018-04-18,RM20 4XJ,49410,ltd,2024-04-30
TRIPLE O GROUP LIMITED,14290577,active,2022-08-11,RM16 6QJ,46900,ltd,2025-05-31
COURAGEOUS CONVERSATIONS LIMITED,12814296,active,2020-08-14,RM16 6DU,82990,ltd,2025-05-31
ORI CARE AND WELLNESS LTD,12823460,active,2020-08-19,RM17 6JT,96020,ltd,2025-05-31
INTERLOCK GROUP LTD,14850754,active,2023-05-05,RM16 6BE,"41202, 71111, 74100, 77320",ltd,2025-02-05
CANDOO MULTI-TRADE SERVICES LIMITED,10206156,active,2016-05-31,RM18 8SD,43341,ltd,2024-02-29
STRINGS OF BEAUTY LIMITED,05831097,active,2006-05-30,RM18 7AX,96090,ltd,2024-02-27
CN &M LTD,12404811,active,2020-01-15,RM18 7BT,49410,ltd,2022-10-31
ESSEX DRIVEWAYS AND LANDSCAPE LTD,12438523,active,2020-02-03,RM18 7AH,96090,ltd,2021-11-03
ASE TRANS LTD,12036831,active,2019-06-06,RM18 7BG,49410,ltd,2021-06-06
MF ITALIAN MARBLE INSTALLATION & DESIGN LTD,10061808,active,2016-03-14,RM18 8SF,43330,ltd,2024-03-31
SHOLAM CONSULTING SERVICES LIMITED,07915690,active,2012-01-19,RM18 8ED,70229,ltd,2023-12-31
ST RAPHAEL TECHNOLOGY LIMITED,11901821,active,2019-03-23,RM18 8EA,"62020, 85590",ltd,2024-12-31
SAFE NETWORKS LTD,11600313,active,2018-10-02,RM18 8AU,"62090, 96090",ltd,2022-07-31
ADSAM LIMITED,10184771,active,2016-05-17,RM18 7AZ,41100,ltd,2023-02-28
FIVE STAR PLUS LTD,13309706,active,2021-04-01,RM18 8RH,52103,ltd,2025-01-31
GENERAL BUILDING - PLUMBING & HEATING LIMITED,08509743,active,2013-04-30,RM18 7AU,"43220, 43390",ltd,2023-12-30
FIGG CONSTRUCTION LTD,14223061,active,2022-07-08,RM18 8RH,41202,ltd,2024-04-08
CITYWYDE LIMITED,12332400,active,2019-11-25,RM19 1RQ,62030,ltd,2021-08-25
PMT DRIVING SERV LIMITED,12456786,active,2020-02-11,RM19 1RW,49410,ltd,2022-11-30
RA-EUROCARS LIMITED,12476372,active,2020-02-21,RM19 1PX,45112,ltd,2021-11-21
TEE TOP LIMITED,12270771,active,2019-10-18,RM19 1QT,96020,ltd,2021-06-30
METICULOUS WITTY LTD,12178225,active,2019-08-28,RM19 1LA,45112,ltd,2021-05-28
RACHAEL CONSULTING LIMITED,06057132,active,2007-01-18,RM19 1LL,70229,ltd,2023-10-31
BC MAINTENANCE LIMITED,12699507,active,2020-06-26,RM19 1PL,81299,ltd,2025-03-31
EYECROWN CONSULTING LTD,07879206,active,2011-12-12,RM19 1PT,62020,ltd,2023-09-30
DECOR DE FAB LTD,12748770,active,2020-07-16,RM19 1SB,56210,ltd,2025-04-30
SAIGE LIMITED,10395125,active,2016-09-26,RM19 1TL,"86101, 86900",ltd,2025-06-30
GBK SAFETY LIMITED,11468558,active,2018-07-17,RM19 1LF,63990,ltd,2025-04-30
MINDFULL LEARNING LTD,12786901,active,2020-08-02,RM19 1SA,85600,ltd,2023-05-31
JEE-DEE ELITE SERVICES LTD,10933497,active,2017-08-25,RM19 1GP,33190,ltd,2023-05-31
BERKSVILLE LTD,12766937,active,2020-07-24,RM19 1RQ,"68100, 68209, 68310",ltd,2023-04-30
FAST SAFE TRANSPORT LIMITED,12725528,active,2020-07-07,RM15 6RZ,49390,ltd,2023-04-30
LASER STEER LIMITED,07411625,active,2010-10-19,RM19 1TB,33170,ltd,2025-07-31
OBQ LTD,11827815,active,2019-02-14,RM19 1TB,41202,ltd,2021-11-30
S&D LTD,14985074,active,2023-07-06,RM19 1QF,68100,ltd,2025-04-06
DIRECT ON TIME LIMITED,09674913,active,2015-07-07,RM19 1RB,49410,ltd,2023-04-30
DCHICOM LIMITED,14845054,active,2023-05-03,RM19 1SX,10890,ltd,2025-02-03
RIGHT FIT RECRUITMENT LTD,11787875,active,2019-01-25,RM15 4DT,78300,ltd,2022-10-31
BIG BUSINESS ENTERTAINMENT LTD,14966202,active,2023-06-27,RM19 1TL,90020,ltd,2025-03-27
LAYOROCS LIMITED,11626782,active,2018-10-17,RM19 1LJ,62090,ltd,2025-07-31
MAGLA TRANS LTD,10374466,active,2016-09-14,RM19 1RW,49410,ltd,2025-06-30
HGV MAX RECRUITMENT LIMITED,10880064,active,2017-07-24,RM19 1GU,78200,ltd,2023-04-30
OLUDAM LIMITED,10563282,active,2017-01-13,RM20 3BH,45112,ltd,2024-10-31
B'S HAND CAR WASH VALETING CENTRE LTD,12151933,active,2019-08-12,RM20 4BA,"45112, 81299",ltd,2021-05-12
DBS COMMERCIALS LTD,05973686,active,2006-10-20,RM20 4EL,45200,ltd,2025-07-31
RAY'S BODY SHOP & GARAGE LTD,11976904,active,2019-05-02,RM20 4BA,45200,ltd,2025-07-31
D & C GLASS & GLAZING LIMITED,06714424,active,2008-10-03,RM20 3ZD,43342,ltd,2025-07-30
IVORYROSE HOSPITALITY SERVICES LIMITED,10593651,active,2017-01-31,RM20 4BE,78200,ltd,2023-10-31
FONE TECH SOLUTIONS LIMITED,07394408,active,2010-10-01,IG1 3BG,47890,ltd,2019-08-31
ACE RESOURCES LTD,12019760,active,2019-05-28,IG6 3UT,39000,ltd,2021-05-28
CAREPAYES LIMITED,12469045,active,2020-02-18,IG1 3QJ,78300,ltd,2024-02-29
TARRA PROJECT LTD,12359111,active,2019-12-11,IG1 3DD,41201,ltd,2024-09-30
UNS PROPERTIES LTD,09165564,active,2014-08-07,IG1 1SD,68100,ltd,2021-05-31
PMPMC SERVICES LTD,11975047,active,2019-05-02,IG1 2HB,41201,ltd,2024-02-29
AK JEWELERS AND WATCHES LTD,11989135,active,2019-05-10,IG1 4PG,"46480, 46720",ltd,2024-02-29
MULTISKILLED DRYLINING LTD,11917943,active,2019-04-01,IG1 1SP,43999,ltd,2024-01-31
PROPERTY ONE SOURCING LTD,11663397,active,2018-11-06,IG2 7JE,98000,ltd,2024-08-31
JIQ CONSULTANCY LLP,OC411886,active,2016-05-19,IG6 2LY,N/A,llp,2023-03-31
SILVERMAN PEAKE LLP,OC389139,active,2013-11-12,IG6 3SZ,N/A,llp,2022-08-29
AMARAH LTD,12433443,active,2020-01-30,IG1 1QP,68209,ltd,2024-10-31
OASIS BANQUETING SERVICES LIMITED,09701247,active,2015-07-24,IG2 7HY,56210,ltd,2024-03-31
ZAMAN CONSTRUCTIONS LTD,10027000,active,2016-02-25,IG6 3UT,"43330, 43341, 43390",ltd,2024-02-29
HUMMUS BAR LTD,10919490,active,2017-08-16,IG1 4TG,99999,ltd,2022-05-31
SKYLINE BUILDING & PROPERTY MANAGEMENT LIMITED,11040567,active,2017-10-31,IG2 6LE,41202,ltd,2025-01-31
APC DEVELOPMENTS (UK) LIMITED,05714284,active,2006-02-17,IG4 5ET,41100,ltd,2024-02-23
JAS DESIGN & BUILD LIMITED,10431036,active,2016-10-17,IG6 3TZ,41202,ltd,2025-07-31
JULIUS SERVICES LTD,12259303,active,2019-10-14,IG6 2UQ,"43320, 47599",ltd,2023-07-31
BOX TRANS LTD,12244422,active,2019-10-04,IG1 3DH,49410,ltd,2022-12-31
2K20 SECURITY LIMITED,12441610,active,2020-02-04,IG1 3DN,80100,ltd,2021-11-04
MP EXECUTIVE TRAVEL LTD,12289394,active,2019-10-30,IG1 2LX,49390,ltd,2023-07-31
ABIVALE LIMITED,12381013,active,2019-12-30,IG6 3HR,96090,ltd,2021-09-30
A2 REALTY LIMITED,12365645,active,2019-12-16,IG2 7NG,"64306, 68310",ltd,2022-09-30
AS ONLINE LIMITED,12275033,active,2019-10-22,IG1 1QP,47190,ltd,2022-07-31
KOLIP TRADERS LTD,12267806,active,2019-10-17,IG3 8TF,"46499, 46520",ltd,2023-07-31
EDEN INVENTORIES LTD,12273335,active,2019-10-21,IG1 4HR,98000,ltd,2021-07-21
LONY SOULTION LTD,14153294,active,2022-06-06,IG1 3BP,43341,ltd,2025-03-31
SAFS WORLD OF BEAUTY LIMITED,12002229,active,2019-05-17,IG1 3NG,96020,ltd,2023-02-28
USA FRIED CHICKEN & PIZZA LTD,12000611,active,2019-05-16,IG1 2AG,56103,ltd,2021-05-16
SOFI TRANSPORT LTD,12002587,active,2019-05-17,IG1 3AJ,49410,ltd,2021-05-17
VAPEJUNKIEZ LTD,11978528,active,2019-05-03,IG1 2ZJ,47260,ltd,2021-05-03
ALFAA TRANS LTD,12222780,active,2019-09-23,IG2 6LQ,"52290, 53201",ltd,2021-06-23
SAMIRUT LTD,12220323,active,2019-09-21,IG3 9HB,"41201, 41202",ltd,2021-06-21
XTREMECOSMETICS4U LTD,12159734,active,2019-08-16,IG1 1XG,47910,ltd,2021-05-16
SRI ELECTRONICS LTD,12190117,active,2019-09-05,IG6 2BA,"74909, 95120, 95210",ltd,2023-06-30
RAYS BUILDING SUPPLIES LTD,12178358,active,2019-08-28,IG1 1QT,46130,ltd,2021-05-28
RELIANCE DEVELOPERS LIMITED,12169388,active,2019-08-22,IG1 4LX,41100,ltd,2022-05-31
CRAFT AND CREATIONS LIMITED,12164435,active,2019-08-19,IG6 2TQ,47910,ltd,2021-05-19
AXIS RENTALS LTD,12163606,active,2019-08-19,IG1 4QY,77110,ltd,2021-05-19
CLOVER CONTRACTING LTD,12234474,active,2019-09-30,IG1 3PN,41202,ltd,2022-06-30
SIU CONSTRUCT LTD,12238560,active,2019-10-02,IG3 8LY,41201,ltd,2021-07-02
