company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type,next_due
MAYFAIR BEAUTY LTD,14140065,active,2022-05-30,IG6 3XH,"47750, 47910",ltd,2025-05-13
BANSAL COMMERCIAL PROPERTIES LTD,10444716,active,2016-10-25,IG6 3HX,68209,ltd,2025-07-31
KEEPSAKE LIMITED,04943765,active,2003-10-27,IG6 3AG,"47599, 49410",ltd,2025-08-31
WHITE NILE CAPITAL LIMITED,12284902,active,2019-10-28,IG6 3XH,82990,ltd,2025-08-15
MEDIA INNOVATION LTD,10940291,active,2017-08-31,IG6 3TZ,73110,ltd,2025-05-31
KENILWORTH CONSULTING LTD,07256308,active,2010-05-18,IG10 3AG,62020,ltd,2020-06-30
BELSIZE PARK DEVELOPMENTS LIMITED,06657968,active,2008-07-28,IG10 3TS,82990,ltd,2019-12-31
SK JULIEN ROAD LIMITED,11646904,active,2018-10-29,IG10 1DX,"68100, 68209, 68320",ltd,2025-07-31
XSURE LABS LTD,12006587,active,2019-05-20,IG10 1SH,"58290, 71121",ltd,2025-05-28
WEAVER FLOORING (LONDON) LIMITED,06752922,active,2008-11-19,IG10 4PL,24330,ltd,2025-08-31
DLV 92 LTD,12851450,active,2020-09-01,IG10 2HE,"52243, 53100, 53201",ltd,2025-06-30
IBIN LTD,11336149,active,2018-04-30,IG10 3TQ,70229,ltd,2025-07-30
DAMAN HOLDINGS LTD,12250653,active,2019-10-08,IG10 1PZ,"41100, 55900, 64303, 64304",ltd,2025-07-31
KOBIGAN PROPERTIES LTD,12801045,active,2020-08-10,IG9 5AQ,"68100, 68209",ltd,2025-05-31
FINE DOORS LTD,05205705,active,2004-08-13,IG9 5BU,47789,ltd,2025-07-31
LITTLE BRIDGE LIMITED,05954441,active,2006-10-03,IG9 5BY,58290,ltd,2025-07-31
HEINDRICK BECKER LIMITED,11691872,active,2018-11-22,IG9 6LL,82990,ltd,2025-08-31
ELECTRICAL SAFETY SERVICES (GB) LIMITED,08114713,active,2012-06-21,IG9 5RD,81100,ltd,2021-06-30
GM 2007 LIMITED,06369489,active,2007-09-12,IG9 5QF,99999,ltd,2025-06-30
ZM DEVELOPMENTS LTD,12171357,active,2019-08-23,IG9 5RY,"41100, 68100",ltd,2025-08-29
DAYA IT CONSULTING LTD,11494320,active,2018-08-01,IG9 6EW,62020,ltd,2025-08-24
ICENI COURT RESIDENTS ASSOCIATION LIMITED,06673496,active,2008-08-14,IG9 5TJ,98000,ltd,2025-08-28
MYERS QUALITY HOMES LIMITED,12815247,active,2020-08-16,IG9 6BJ,"68100, 68209",ltd,2025-05-31
DEWAXIFY LTD,12833976,active,2020-08-24,IG1 3TW,86220,ltd,2025-08-31
AZIMAX (DORKING) LIMITED,11498449,active,2018-08-03,IG4 5ET,41100,ltd,2025-08-31
